is2_idx,1000,inc,100,0,0
ms1_idx,1000,inc,100,0,9
ms2_idx,1000,inc,100,0,3
ms3_idx,1000,inc,100,0,2
bf,2000,inc,100,0,54
is1,2000,inc,100,0,0
is2,2000,inc,100,0,4
ms1,2000,inc,100,0,17
ms2,2000,inc,100,0,7
ms3,2000,inc,100,0,4
ms2_is2,2000,inc,100,0,4
ms3_is2,2000,inc,100,0,4
bf_idx,2000,inc,100,0,55
is1_idx,2000,inc,100,0,0
is2_idx,2000,inc,100,0,0
ms1_idx,2000,inc,100,0,18
ms2_idx,2000,inc,100,0,6
ms3_idx,2000,inc,100,0,5
bf,3000,inc,100,0,120
is1,3000,inc,100,0,0
is2,3000,inc,100,0,7
ms1,3000,inc,100,0,23
ms2,3000,inc,100,0,10
ms3,3000,inc,100,0,7
ms2_is2,3000,inc,100,0,7
ms3_is2,3000,inc,100,0,7
bf_idx,3000,inc,100,0,122
is1_idx,3000,inc,100,0,0
is2_idx,3000,inc,100,0,0
ms1_idx,3000,inc,100,0,26
ms2_idx,3000,inc,100,0,10
ms3_idx,3000,inc,100,0,8
bf,4000,inc,100,0,212
is1,4000,inc,100,0,0
is2,4000,inc,100,0,10
ms1,4000,inc,100,0,34
ms2,4000,inc,100,0,14
ms3,4000,inc,100,0,9
ms2_is2,4000,inc,100,0,10
ms3_is2,4000,inc,100,0,10
bf_idx,4000,inc,100,0,215
is1_idx,4000,inc,100,0,0
is2_idx,4000,inc,100,0,0
ms1_idx,4000,inc,100,0,38
ms2_idx,4000,inc,100,0,14
ms3_idx,4000,inc,100,0,10
bf,5000,inc,100,0,330
is1,5000,inc,100,0,0
is2,5000,inc,100,0,13
ms1,5000,inc,100,0,42
ms2,5000,inc,100,0,18
ms3,5000,inc,100,0,13
ms2_is2,5000,inc,100,0,13
ms3_is2,5000,inc,100,0,14
bf_idx,5000,inc,100,0,334
is1_idx,5000,inc,100,0,0
is2_idx,5000,inc,100,0,0
ms1_idx,5000,inc,100,0,46
ms2_idx,5000,inc,100,0,18
ms3_idx,5000,inc,100,0,15
bf,6000,inc,100,0,475
is1,6000,inc,100,0,0
is2,6000,inc,100,0,16
ms1,6000,inc,100,0,51
ms2,6000,inc,100,0,22
ms3,6000,inc,100,0,16
ms2_is2,6000,inc,100,0,16
ms3_is2,6000,inc,100,0,17
bf_idx,6000,inc,100,0,480
is1_idx,6000,inc,100,0,0
is2_idx,6000,inc,100,0,1
ms1_idx,6000,inc,100,0,56
ms2_idx,6000,inc,100,0,22
ms3_idx,6000,inc,100,0,18
bf,7000,inc,100,0,650
is1,7000,inc,100,0,1
is2,7000,inc,100,0,19
ms1,7000,inc,100,0,59
ms2,7000,inc,100,0,26
ms3,7000,inc,100,0,19
ms2_is2,7000,inc,100,0,19
ms3_is2,7000,inc,100,0,19
bf_idx,7000,inc,100,0,651
is1_idx,7000,inc,100,0,0
is2_idx,7000,inc,100,0,1
ms1_idx,7000,inc,100,0,65
ms2_idx,7000,inc,100,0,25
ms3_idx,7000,inc,100,0,21
bf,8000,inc,100,0,884
is1,8000,inc,100,0,1
is2,8000,inc,100,0,22
ms1,8000,inc,100,0,70
ms2,8000,inc,100,0,30
ms3,8000,inc,100,0,22
ms2_is2,8000,inc,100,0,22
ms3_is2,8000,inc,100,0,22
bf_idx,8000,inc,100,0,849
is1_idx,8000,inc,100,0,1
is2_idx,8000,inc,100,0,1
ms1_idx,8000,inc,100,0,78
ms2_idx,8000,inc,100,0,29
ms3_idx,8000,inc,100,0,24
bf,9000,inc,100,0,1066
is1,9000,inc,100,0,1
is2,9000,inc,100,0,25
ms1,9000,inc,100,0,79
ms2,9000,inc,100,0,34
ms3,9000,inc,100,0,26
ms2_is2,9000,inc,100,0,25
ms3_is2,9000,inc,100,0,27
bf_idx,9000,inc,100,0,1075
is1_idx,9000,inc,100,0,1
is2_idx,9000,inc,100,0,1
ms1_idx,9000,inc,100,0,86
ms2_idx,9000,inc,100,0,34
ms3_idx,9000,inc,100,0,28
bf,10000,inc,1,0,13
is1,10000,inc,1,0,0
is2,10000,inc,1,0,0
bf_idx,10000,inc,1,0,13
is1_idx,10000,inc,1,0,0
is2_idx,10000,inc,1,0,0
bf,20000,inc,1,0,53
is1,20000,inc,1,0,0
is2,20000,inc,1,0,0
bf_idx,20000,inc,1,0,53
is1_idx,20000,inc,1,0,0
is2_idx,20000,inc,1,0,0
bf,30000,inc,1,0,120
is1,30000,inc,1,0,0
is2,30000,inc,1,0,0
bf_idx,30000,inc,1,0,120
is1_idx,30000,inc,1,0,0
is2_idx,30000,inc,1,0,0
bf,40000,inc,1,0,213
is1,40000,inc,1,0,0
is2,40000,inc,1,0,1
bf_idx,40000,inc,1,0,213
is1_idx,40000,inc,1,0,0
is2_idx,40000,inc,1,0,0
bf,50000,inc,1,0,335
is1,50000,inc,1,0,0
is2,50000,inc,1,0,1
bf_idx,50000,inc,1,0,334
is1_idx,50000,inc,1,0,0
is2_idx,50000,inc,1,0,0
bf,60000,inc,1,0,495
is1,60000,inc,1,0,0
is2,60000,inc,1,0,2
bf_idx,60000,inc,1,0,495
is1_idx,60000,inc,1,0,0
is2_idx,60000,inc,1,0,0
bf,70000,inc,1,0,678
is1,70000,inc,1,0,0
is2,70000,inc,1,0,2
bf_idx,70000,inc,1,0,678
is1_idx,70000,inc,1,0,0
is2_idx,70000,inc,1,0,0
bf,80000,inc,1,0,909
is1,80000,inc,1,0,0
is2,80000,inc,1,0,2
bf_idx,80000,inc,1,0,909
is1_idx,80000,inc,1,0,0
is2_idx,80000,inc,1,0,0
bf,90000,inc,1,0,1189
is1,90000,inc,1,0,0
is2,90000,inc,1,0,3
bf_idx,90000,inc,1,0,1191
is1_idx,90000,inc,1,0,0
is2_idx,90000,inc,1,0,0
ms1,10000,inc,100,0,87
ms2,10000,inc,100,0,38
ms3,10000,inc,100,0,29
ms2_is2,10000,inc,100,0,28
ms3_is2,10000,inc,100,0,30
ms1_idx,10000,inc,100,0,96
ms2_idx,10000,inc,100,0,38
ms3_idx,10000,inc,100,0,32
ms1,20000,inc,100,0,172
ms2,20000,inc,100,0,82
ms3,20000,inc,100,0,64
ms2_is2,20000,inc,100,0,62
ms3_is2,20000,inc,100,0,65
ms1_idx,20000,inc,100,0,189
ms2_idx,20000,inc,100,0,82
ms3_idx,20000,inc,100,0,69
ms1,30000,inc,100,0,275
ms2,30000,inc,100,0,129
ms3,30000,inc,100,0,99
ms2_is2,30000,inc,100,0,97
ms3_is2,30000,inc,100,0,101
ms1_idx,30000,inc,100,0,300
ms2_idx,30000,inc,100,0,126
ms3_idx,30000,inc,100,0,107
ms1,40000,inc,100,0,373
